Parameter,DataType,Access,FactoryDefault,SourceFile
Device.IP.Diagnostics.DownloadDiagnostics.DownloadTransports,string,readOnly,"HTTP,FTP",data-model-generic.xml
Device.IP.Diagnostics.IPPing.DiagnosticsState,string,readWrite,None,data-model-generic.xml
Device.IP.Diagnostics.UDPEchoConfig.EchoPlusEnabled,boolean,readWrite,0,data-model-generic.xml
Device.IP.Diagnostics.UDPEchoConfig.EchoPlusSupported,boolean,readOnly,1,data-model-generic.xml
Device.IP.Diagnostics.UDPEchoConfig.Enable,boolean,readWrite,0,data-model-generic.xml
Device.IP.Diagnostics.UploadDiagnostics.DSCP,unsignedInt,readWrite,0,data-model-generic.xml
Device.IP.Diagnostics.UploadDiagnostics.DiagnosticsState,string,readWrite,None,data-model-generic.xml
Device.IP.Diagnostics.UploadDiagnostics.EthernetPriority,unsignedInt,readWrite,0,data-model-generic.xml
Device.IP.Diagnostics.UploadDiagnostics.UploadTransports,string,readOnly,"HTTP,FTP",data-model-generic.xml
Device.IP.Interface.{i}.LowerLayers,string,readWrite,,data-model-generic.xml
Device.InterfaceStackNumberOfEntries,unsignedInt,readOnly,0,data-model-generic.xml
Device.ManagementServer.AliasBasedAddressing,boolean,readOnly,1,data-model-generic.xml
Device.ManagementServer.AutoCreateInstances,boolean,readWrite,0,data-model-generic.xml
Device.ManagementServer.DefaultActiveNotificationThrottle,unsignedInt,readWrite,600,data-model-generic.xml
Device.ManagementServer.InstanceMode,string,readWrite,InstanceNumber,data-model-generic.xml
Device.ManagementServer.NATDetected,boolean,readOnly,0,data-model-generic.xml
Device.ManagementServer.PeriodicInformEnable,boolean,readWrite,0,data-model-generic.xml
Device.ManagementServer.PeriodicInformInterval,unsignedInt,readWrite,300,data-model-generic.xml
Device.ManagementServer.STUNEnable,boolean,readWrite,1,data-model-generic.xml
Device.ManagementServer.STUNMaximumKeepAlivePeriod,int,readWrite,80,data-model-generic.xml
Device.ManagementServer.STUNMinimumKeepAlivePeriod,unsignedInt,readWrite,30,data-model-generic.xml
Device.ManagementServer.STUNServerPort,unsignedInt,readWrite,3478,data-model-generic.xml
Device.ManagementServer.UpgradesManaged,boolean,readWrite,0,data-model-generic.xml
Device.Services.STBService.1.Components.AudioOutput.1.CancelMute,boolean,readWrite,0,data-model-generic.xml
Device.Services.STBService.1.Components.AudioOutput.1.Name,string,readOnly,The Audio Output Component,data-model-generic.xml
Device.Services.STBService.1.Components.AudioOutputNumberOfEntries,unsignedInt,readOnly,1,data-model-generic.xml
Device.Services.STBService.1.Components.HDMINumberOfEntries,unsignedInt,readOnly,1,data-model-generic.xml
Device.Services.STBService.1.Components.VideoDecoderNumberOfEntries,unsignedInt,readOnly,1,data-model-generic.xml
Device.Services.STBService.1.Components.VideoOutputNumberOfEntries,unsignedInt,readOnly,1,data-model-generic.xml
Device.Services.STBService.1.Enable,boolean,readWrite,1,data-model-generic.xml
Device.Services.STBServiceNumberOfEntries,unsignedInt,readOnly,1,data-model-generic.xml
Device.Time.ChronyEnable,boolean,readWrite,false,data-model-stb.xml
Device.Time.ChronyEnable,boolean,readWrite,false,data-model-tv.xml
Device.Time.NTPMaxpoll,unsignedInt,readWrite,12,data-model-stb.xml
Device.Time.NTPMaxpoll,unsignedInt,readWrite,12,data-model-tv.xml
Device.Time.NTPMaxstep,string,readWrite,"1.0,3",data-model-stb.xml
Device.Time.NTPMaxstep,string,readWrite,"1.0,3",data-model-tv.xml
Device.Time.NTPMinpoll,unsignedInt,readWrite,10,data-model-stb.xml
Device.Time.NTPMinpoll,unsignedInt,readWrite,10,data-model-tv.xml
Device.Time.NTPServer1Directive,string,readWrite,server,data-model-stb.xml
Device.Time.NTPServer1Directive,string,readWrite,server,data-model-tv.xml
Device.Time.NTPServer2Directive,string,readWrite,server,data-model-stb.xml
Device.Time.NTPServer2Directive,string,readWrite,server,data-model-tv.xml
Device.Time.NTPServer3Directive,string,readWrite,server,data-model-stb.xml
Device.Time.NTPServer3Directive,string,readWrite,server,data-model-tv.xml
Device.Time.NTPServer4Directive,string,readWrite,server,data-model-stb.xml
Device.Time.NTPServer4Directive,string,readWrite,server,data-model-tv.xml
Device.Time.NTPServer5Directive,string,readWrite,server,data-model-stb.xml
Device.Time.NTPServer5Directive,string,readWrite,server,data-model-tv.xml
Device.WiFi.AccessPoint.{i}.Enable,boolean,readWrite,0,data-model-generic.xml
Device.WiFi.AccessPoint.{i}.SSIDReference,string,readWrite,,data-model-generic.xml
Device.WiFi.AccessPoint.{i}.Security.RadiusServerPort,unsignedInt,readWrite,1812,data-model-generic.xml
Device.WiFi.AccessPoint.{i}.Security.RekeyingInterval,unsignedInt,readWrite,3600,data-model-generic.xml
Device.WiFi.AccessPoint.{i}.Status,string,readOnly,Disable,data-model-generic.xml
Device.WiFi.AccessPoint.{i}.WPS.Enable,boolean,readWrite,1,data-model-generic.xml
Device.WiFi.EndPoint.{i}.Enable,boolean,readWrite,0,data-model-generic.xml
Device.WiFi.EndPoint.{i}.Profile.{i}.Enable,boolean,readWrite,0,data-model-generic.xml
Device.WiFi.EndPoint.{i}.Profile.{i}.Priority,unsignedInt,readWrite,0,data-model-generic.xml
Device.WiFi.EndPoint.{i}.Profile.{i}.Status,string,readOnly,Disabled,data-model-generic.xml
Device.WiFi.EndPoint.{i}.ProfileReference,string,readWrite,,data-model-generic.xml
Device.WiFi.EndPoint.{i}.SSIDReference,string,readOnly,,data-model-generic.xml
Device.WiFi.EndPoint.{i}.Stats.Retransmissions,unsignedInt,readOnly,0,data-model-generic.xml
Device.WiFi.EndPoint.{i}.Status,string,readOnly,Disabled,data-model-generic.xml
Device.WiFi.EndPoint.{i}.WPS.Enable,boolean,readWrite,1,data-model-generic.xml
Device.WiFi.SSID.{i}.Enable,boolean,readWrite,0,data-model-generic.xml
Device.WiFi.SSID.{i}.LowerLayers,string,readWrite,,data-model-generic.xml
