Parameter,bsUpdate,FactoryDefault,DataType,Access,SourceFile
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.CrashUpload.S3SigningUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.CrashUpload.crashPortalDEVUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.CrashUpload.crashPortalPRODUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.CrashUpload.crashPortalSTBUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.CrashUpload.crashPortalVBNUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DAC.ConfigURL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DAC.dacBundleFirmwareCompatibilityKey,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DAC.dacBundlePlatformName,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.HDMI.Enabled,,FALSE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.HDMI_ARC.Enabled,,FALSE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.SPDIF.Enabled,,FALSE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.SPEAKER.Enabled,,TRUE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DynamicIUIUpdate.IUISelector,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DynamicIUIUpdate.Pathway.Uri,,base64:eyJ2ZXJiIjoiUE9TVCIsInVybCI6Imh0dHBzOi8vZXh0ZXJuYWwucHdydWxlcy5za3kuY29tL3BhdGhjYXQifQ==,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.1080pGraphics.Enable,,,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AAMP_CFG.DashPlaybackExclusions,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AAMP_CFG.DashPlaybackInclusions,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AAMP_CFG.b64Config,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Airplay.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AmazonPrimeVideo.SyePlayer.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AppConfig.App.{i}.AppName,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AppConfig.App.{i}.AppSize,,,string,readWrite,data-model-generic.xml
